      Date  Year  DayIndex MISO1 MISO2 Amplitude  Phase
1998-05-01  1998         1 -0.81  0.72      1.08      5
1998-05-02  1998         2 -0.76  0.89      1.17      6
1998-05-03  1998         3 -0.69  1.13      1.32      6
1998-05-04  1998         4 -0.58  1.26      1.39      6
1998-05-05  1998         5 -0.51  1.29      1.39      6
1998-05-06  1998         6 -0.36  1.23      1.28      6
1998-05-07  1998         7 -0.19  1.15      1.17      6
1998-05-08  1998         8 -0.03  1.11      1.11      6
1998-05-09  1998         9  0.15  1.21      1.22      7
1998-05-10  1998        10  0.41  1.36      1.42      7
1998-05-11  1998        11  0.71  1.67      1.81      7
1998-05-12  1998        12  1.02  1.95      2.20      7
1998-05-13  1998        13  1.42  2.07      2.51      7
1998-05-14  1998        14  1.85  1.93      2.67      7
1998-05-15  1998        15  2.28  1.68      2.83      8
1998-05-16  1998        16  2.67  1.24      2.94      8
1998-05-17  1998        17  2.94  0.60      3.00      8
1998-05-18  1998        18  3.07 -0.09      3.07      1
1998-05-19  1998        19  3.03 -0.73      3.12      1
1998-05-20  1998        20  2.86 -1.35      3.16      1
1998-05-21  1998        21  2.56 -1.77      3.11      1
1998-05-22  1998        22  2.22 -1.97      2.97      1
1998-05-23  1998        23  1.82 -2.03      2.73      2
1998-05-24  1998        24  1.40 -1.85      2.32      2
1998-05-25  1998        25  1.00 -1.58      1.87      2
1998-05-26  1998        26  0.66 -1.26      1.42      2
1998-05-27  1998        27  0.39 -1.01      1.08      2
1998-05-28  1998        28  0.21 -0.65      0.68      2
1998-05-29  1998        29  0.11 -0.42      0.43      2
1998-05-30  1998        30  0.09 -0.13      0.16      2
1998-05-31  1998        31  0.15  0.09      0.17      8
1998-06-01  1998        32  0.32  0.18      0.37      8
1998-06-02  1998        33  0.46  0.25      0.52      8
1998-06-03  1998        34  0.55  0.34      0.65      8
1998-06-04  1998        35  0.64  0.37      0.74      8
1998-06-05  1998        36  0.68  0.35      0.76      8
1998-06-06  1998        37  0.71  0.28      0.76      8
1998-06-07  1998        38  0.67  0.18      0.69      8
1998-06-08  1998        39  0.55  0.11      0.56      8
1998-06-09  1998        40  0.39 -0.19      0.43      1
1998-06-10  1998        41  0.32 -0.31      0.45      1
1998-06-11  1998        42  0.21 -0.44      0.49      2
1998-06-12  1998        43  0.08 -0.47      0.48      2
1998-06-13  1998        44 -0.02 -0.43      0.43      3
1998-06-14  1998        45 -0.13 -0.28      0.31      3
1998-06-15  1998        46 -0.21 -0.11      0.24      4
1998-06-16  1998        47 -0.14  0.12      0.18      5
1998-06-17  1998        48 -0.06  0.31      0.32      6
1998-06-18  1998        49 -0.02  0.43      0.43      6
1998-06-19  1998        50  0.05  0.44      0.44      7
1998-06-20  1998        51  0.14  0.45      0.47      7
1998-06-21  1998        52  0.26  0.31      0.40      7
1998-06-22  1998        53  0.31  0.08      0.32      8
1998-06-23  1998        54  0.31 -0.09      0.32      1
1998-06-24  1998        55  0.45 -0.39      0.60      1
1998-06-25  1998        56  0.52 -0.50      0.72      1
1998-06-26  1998        57  0.48 -0.62      0.78      2
1998-06-27  1998        58  0.48 -0.77      0.91      2
1998-06-28  1998        59  0.42 -0.88      0.98      2
1998-06-29  1998        60  0.32 -1.06      1.11      2
1998-06-30  1998        61  0.19 -1.29      1.30      2
1998-07-01  1998        62 -0.01 -1.39      1.39      3
1998-07-02  1998        63 -0.24 -1.38      1.40      3
1998-07-03  1998        64 -0.50 -1.38      1.47      3
1998-07-04  1998        65 -0.76 -1.38      1.58      3
1998-07-05  1998        66 -1.05 -1.28      1.66      3
1998-07-06  1998        67 -1.26 -1.16      1.71      4
1998-07-07  1998        68 -1.33 -1.14      1.75      4
1998-07-08  1998        69 -1.40 -0.98      1.71      4
1998-07-09  1998        70 -1.36 -0.70      1.53      4
1998-07-10  1998        71 -1.32 -0.49      1.41      4
1998-07-11  1998        72 -1.31 -0.25      1.33      4
1998-07-12  1998        73 -1.24  0.03      1.24      5
1998-07-13  1998        74 -1.15  0.31      1.19      5
1998-07-14  1998        75 -0.97  0.55      1.12      5
1998-07-15  1998        76 -0.78  0.79      1.11      6
1998-07-16  1998        77 -0.59  1.16      1.30      6
1998-07-17  1998        78 -0.32  1.55      1.58      6
1998-07-18  1998        79  0.04  1.76      1.76      7
1998-07-19  1998        80  0.46  1.76      1.82      7
1998-07-20  1998        81  0.81  1.62      1.81      7
1998-07-21  1998        82  1.11  1.41      1.79      7
1998-07-22  1998        83  1.43  1.08      1.79      8
1998-07-23  1998        84  1.70  0.76      1.86      8
1998-07-24  1998        85  1.88  0.39      1.92      8
1998-07-25  1998        86  1.97  0.00      1.97      8
1998-07-26  1998        87  1.94 -0.47      2.00      1
1998-07-27  1998        88  1.85 -0.95      2.08      1
1998-07-28  1998        89  1.63 -1.33      2.10      1
1998-07-29  1998        90  1.36 -1.58      2.08      2
1998-07-30  1998        91  0.98 -1.70      1.96      2
1998-07-31  1998        92  0.60 -1.54      1.65      2
1998-08-01  1998        93  0.30 -1.18      1.22      2
1998-08-02  1998        94  0.08 -0.77      0.77      2
1998-08-03  1998        95 -0.01 -0.46      0.46      3
1998-08-04  1998        96 -0.13 -0.23      0.26      3
1998-08-05  1998        97 -0.18  0.00      0.18      5
1998-08-06  1998        98 -0.14  0.28      0.31      6
1998-08-07  1998        99  0.03  0.46      0.46      7
1998-08-08  1998       100  0.25  0.58      0.63      7
1998-08-09  1998       101  0.48  0.70      0.85      7
1998-08-10  1998       102  0.66  0.49      0.82      8
1998-08-11  1998       103  0.80  0.27      0.84      8
1998-08-12  1998       104  0.83 -0.00      0.83      1
1998-08-13  1998       105  0.75 -0.26      0.79      1
1998-08-14  1998       106  0.58 -0.43      0.72      1
1998-08-15  1998       107  0.45 -0.37      0.58      1
1998-08-16  1998       108  0.28 -0.21      0.35      1
1998-08-17  1998       109  0.11  0.08      0.14      8
1998-08-18  1998       110  0.16  0.39      0.42      7
1998-08-19  1998       111  0.26  0.57      0.63      7
1998-08-20  1998       112  0.51  0.71      0.87      7
1998-08-21  1998       113  0.76  0.82      1.12      7
1998-08-22  1998       114  1.01  0.73      1.25      8
1998-08-23  1998       115  1.27  0.53      1.38      8
1998-08-24  1998       116  1.39  0.24      1.41      8
1998-08-25  1998       117  1.41 -0.32      1.45      1
1998-08-26  1998       118  1.26 -0.70      1.44      1
1998-08-27  1998       119  1.00 -1.03      1.44      2
1998-08-28  1998       120  0.67 -1.25      1.42      2
1998-08-29  1998       121  0.29 -1.38      1.41      2
1998-08-30  1998       122 -0.08 -1.27      1.27      3
1998-08-31  1998       123 -0.39 -1.17      1.23      3
1998-09-01  1998       124 -0.64 -0.92      1.12      3
1998-09-02  1998       125 -0.75 -0.51      0.91      4
1998-09-03  1998       126 -0.73 -0.15      0.75      4
1998-09-04  1998       127 -0.61  0.24      0.66      5
1998-09-05  1998       128 -0.41  0.44      0.60      6
1998-09-06  1998       129 -0.24  0.50      0.55      6
1998-09-07  1998       130  0.02  0.35      0.35      7
1998-09-08  1998       131  0.17 -0.04      0.17      1
1998-09-09  1998       132  0.19 -0.44      0.48      2
1998-09-10  1998       133  0.02 -0.61      0.61      2
1998-09-11  1998       134 -0.20 -0.80      0.82      3
1998-09-12  1998       135 -0.46 -0.79      0.91      3
1998-09-13  1998       136 -0.66 -0.81      1.04      3
1998-09-14  1998       137 -0.88 -0.68      1.11      4
1998-09-15  1998       138 -1.03 -0.48      1.14      4
1998-09-16  1998       139 -1.08 -0.24      1.11      4
1998-09-17  1998       140 -1.10  0.02      1.10      5
1998-09-18  1998       141 -1.05  0.32      1.10      5
1998-09-19  1998       142 -0.93  0.73      1.18      5
1998-09-20  1998       143 -0.66  1.05      1.24      6
1998-09-21  1998       144 -0.34  1.18      1.23      6
1998-09-22  1998       145  0.01  1.23      1.23      7
1998-09-23  1998       146  0.37  1.17      1.23      7
1998-09-24  1998       147  0.67  1.04      1.24      7
1998-09-25  1998       148  0.87  0.83      1.20      8
1998-09-26  1998       149  1.06  0.40      1.13      8
1998-09-27  1998       150  1.07 -0.06      1.07      1
1998-09-28  1998       151  1.06 -0.54      1.19      1
1998-09-29  1998       152  0.97 -0.99      1.39      2
1998-09-30  1998       153  0.78 -1.28      1.50      2
1998-10-01  1998       154  0.53 -1.47      1.56      2
1998-10-02  1998       155  0.23 -1.56      1.58      2
1998-10-03  1998       156 -0.06 -1.58      1.58      3
1998-10-04  1998       157 -0.33 -1.36      1.40      3
1998-10-05  1998       158 -0.51 -1.13      1.24      3
1998-10-06  1998       159 -0.60 -0.89      1.07      3
1998-10-07  1998       160 -0.61 -0.67      0.91      3
1998-10-08  1998       161 -0.61 -0.49      0.78      4
1998-10-09  1998       162 -0.58 -0.34      0.67      4
1998-10-10  1998       163 -0.48 -0.34      0.59      4
1998-10-11  1998       164 -0.33 -0.53      0.62      3
1998-10-12  1998       165 -0.34 -0.88      0.94      3
1998-10-13  1998       166 -0.46 -1.17      1.26      3
1998-10-14  1998       167 -0.61 -1.46      1.58      3
1998-10-15  1998       168 -0.93 -1.70      1.94      3
1998-10-16  1998       169 -1.29 -1.79      2.21      3
1998-10-17  1998       170 -1.62 -1.72      2.36      3
1998-10-18  1998       171 -1.87 -1.60      2.46      4
1998-10-19  1998       172 -2.14 -1.29      2.50      4
1998-10-20  1998       173 -2.37 -0.90      2.54      4
1998-10-21  1998       174 -2.48 -0.34      2.50      4
1998-10-22  1998       175 -2.44  0.28      2.46      5
1998-10-23  1998       176 -2.27  0.81      2.41      5
1998-10-24  1998       177 -2.00  1.35      2.41      5
1998-10-25  1998       178 -1.60  1.70      2.33      6
1998-10-26  1998       179 -1.13  1.95      2.25      6
1998-10-27  1998       180 -0.64  2.01      2.11      6
1998-10-28  1998       181 -0.22  1.92      1.93      6
1998-10-29  1998       182  0.12  1.70      1.70      7
1998-10-30  1998       183  0.44  1.41      1.48      7
1998-10-31  1998       184  0.68  1.11      1.30      7
1999-05-01  1999         1 -1.16 -0.78      1.40      4
1999-05-02  1999         2 -1.16 -0.50      1.26      4
1999-05-03  1999         3 -1.12 -0.16      1.13      4
1999-05-04  1999         4 -1.06  0.11      1.07      5
1999-05-05  1999         5 -1.00  0.28      1.04      5
1999-05-06  1999         6 -0.92  0.29      0.96      5
1999-05-07  1999         7 -0.83  0.27      0.87      5
1999-05-08  1999         8 -0.77  0.25      0.81      5
1999-05-09  1999         9 -0.73  0.19      0.75      5
1999-05-10  1999        10 -0.67  0.11      0.68      5
1999-05-11  1999        11 -0.66  0.09      0.67      5
1999-05-12  1999        12 -0.69  0.12      0.70      5
1999-05-13  1999        13 -0.68  0.16      0.70      5
1999-05-14  1999        14 -0.64  0.24      0.68      5
1999-05-15  1999        15 -0.60  0.31      0.68      5
